geography_code,month_index,segment_code,segment_share,placeholder_flag,source_gap,placeholder_method
EU,1,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,1,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,1,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,10,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,10,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,10,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,100,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,100,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,100,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,101,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,101,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,101,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,102,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,102,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,102,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,103,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,103,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,103,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,104,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,104,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,104,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,105,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,105,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,105,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,106,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,106,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,106,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,107,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,107,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,107,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,108,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,108,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,108,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,109,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,109,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,109,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,11,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,11,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,11,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,110,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,110,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,110,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,111,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,111,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,111,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,112,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,112,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,112,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,113,1L_fit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,113,1L_unfit,0.333333333333,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
EU,113,RR,0.333333333334,yes,Raw workbook does not include approved Phase 1 segment mix source values.,neutral_equal_share_default
