geography_code,module,month_index,patients_treated,source_file,source_grain,transformation_note
US,AML,1,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,2,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,3,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,4,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,5,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,6,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,7,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,8,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,9,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,10,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,11,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,AML,12,116.6666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,1,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,2,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,3,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,4,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,5,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,6,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,7,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,8,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,9,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,10,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,11,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Incident,12,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,1,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,2,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,3,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,4,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,5,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,6,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,7,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,8,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,9,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,10,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,11,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,CML_Prevalent,12,0,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
US,MDS,1,96.66666666666666666666666667,treatable pts 250.xlsx,annual_by_geography_module,PLACEHOLDER: annual source value split evenly across 12 months for Phase 1.
